(intval, jump) 
0.1984842929 10
0.1981907282 11
0.1985865253 12
0.1989686148 13
0.1984275351 14
0.1979655108 15
0.1978489516 16
0.1988970956 17
0.1987309842 18
0.1991064604 19
0.1980224338 20
0.1983565023 21
0.1988934824 22
0.1973557039 23
0.1991710041 24
0.1982171550 25
0.1977511597 26
0.1983235361 27
0.1988161779 28
0.1981853358 29
0.1985366353 30
0.1978974242 31
0.1978470024 32
0.1981412156 33
0.1993441768 34
0.1977947375 35
0.1993094548 36
0.1988074183 37
0.1982472785 38
0.1978876700 39
0.1987255136 40
0.1972381384 41
0.1987102311 42
0.1991634379 43
0.1985140375 44
0.1976686558 45
0.1982657203 46
0.1986947076 47
0.1982455338 48
0.1982233087 49
